LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1032482.283674,1032482.283672,1760462412.096476,93090,12283,2,RD,1,100,TL,TU
1032507.975595,1032507.975593,1760462437.788460,118780,16348,2,RD,1,100,TL,TU
1032513.123980,1032513.123978,1760462442.936858,123928,17165,2,RD,1,100,TL,TU
1032538.178854,1032538.178851,1760462467.991792,148981,21116,2,RD,1,100,TL,TU
1032543.308237,1032543.308235,1760462473.121188,154110,21939,2,RD,1,100,TL,TU
1032548.416619,1032548.416617,1760462478.229583,159218,22760,2,RD,1,100,TL,TU
1032553.525001,1032553.524999,1760462483.337977,164326,23574,2,RD,1,100,TL,TU
1032558.633383,1032558.633381,1760462488.446372,169434,24394,2,RD,1,100,TL,TU
1032563.744765,1032563.744763,1760462493.557767,174545,25224,2,RD,1,100,TL,TU
1032568.858148,1032568.858145,1760462498.671161,179658,26056,2,RD,1,100,TL,TU
1032573.961529,1032573.961527,1760462503.774555,184761,26892,2,RD,1,100,TL,TU
1032579.109914,1032579.109912,1760462508.922953,189909,27737,2,RD,1,100,TL,TU
1032592.570921,1032592.570918,1760462522.383992,203369,29887,2,RD,1,100,TL,TU
